COMMUNICATION,BEHAVIOUR,TECHNOLOGY,COLLABORATION,ACCURACY,SECURITY,SATISFACTION,SATISFIED
2,2,5,15,17,32,20.07475,Bad
3,5,3,89,90,83,85.642,Good
5,4,3,24,31,49,35.644999999999996,Bad
10,8,4,70,92,99,88.32400000000001,Good
9,1,1,68,83,4,49.463750000000005,Average
2,8,5,70,11,76,55.33025,Average
2,1,2,72,18,93,60.78875,Average
8,5,1,82,28,42,53.773250000000004,Average
8,9,3,17,87,59,56.385000000000005,Average
3,5,5,83,84,58,72.498,Good
8,7,2,81,4,5,34.79775000000001,Bad
5,5,3,17,15,5,14.39875,Bad
6,9,4,81,20,70,61.42025,Average
5,2,3,33,46,6,26.93325,Bad
2,4,2,34,73,42,48.26775000000001,Average
8,1,4,59,87,59,64.802,Average
9,2,4,42,91,41,55.0115,Average
7,8,2,61,62,29,53.22075,Average
6,1,2,43,85,79,66.268,Average
2,10,4,50,50,62,56.6985,Average
4,4,5,50,35,50,44.57175000000001,Average
4,3,3,72,56,95,73.45725,Good
5,1,1,0,95,82,56.158750000000005,Average
7,4,3,4,85,8,30.762500000000003,Bad
5,1,3,22,52,43,37.0075,Bad
4,8,5,82,83,42,68.51275000000001,Average
1,6,1,8,19,34,23.143,Bad
3,8,2,10,4,90,39.901250000000005,Bad
10,8,2,93,19,79,69.34224999999999,Average
2,8,4,27,5,95,46.36975,Average
1,1,3,39,74,6,35.355,Bad
1,8,3,82,6,18,38.78025,Bad
5,2,5,94,4,64,54.08025,Average
2,4,2,52,12,74,47.8665,Average
1,4,2,37,49,73,52.831,Average
9,1,3,20,23,97,47.440250000000006,Average
3,6,4,11,80,42,43.19225,Average
4,10,2,31,81,81,67.04575,Average
5,1,3,18,7,94,40.35575,Average
6,10,5,42,11,6,24.28875,Bad
1,2,4,11,52,41,31.98525,Bad
10,6,5,77,42,12,45.05200000000001,Average
1,2,3,66,90,7,49.77725000000001,Average
5,1,1,77,3,41,41.54675,Average
9,7,4,34,23,78,48.86825,Average
7,3,5,59,88,72,70.09649999999999,Good
5,10,2,91,34,94,78.21924999999999,Good
7,4,3,20,100,20,44.39725,Average
9,8,2,1,19,49,28.474500000000003,Bad
8,4,2,49,91,51,62.69775,Average
2,5,3,16,86,30,42.06625,Average
4,9,4,34,20,84,50.23425,Average
6,1,1,35,11,61,36.9785,Bad
4,5,4,25,47,37,36.356,Bad
3,10,5,9,15,57,31.2815,Bad
2,7,3,75,40,80,66.86175,Average
4,1,2,39,9,53,34.1065,Bad
6,9,4,26,36,92,55.28775,Average
1,5,3,91,42,40,57.589,Average
7,10,4,31,29,36,36.6755,Bad
2,4,4,3,95,100,63.136750000000006,Average
10,10,1,61,23,74,59.904250000000005,Average
9,10,4,45,86,36,57.881249999999994,Average
6,9,1,48,8,85,53.623250000000006,Average
1,10,2,25,23,63,41.837,Average
2,3,2,25,66,46,44.05125,Average
8,4,1,20,9,84,41.61825,Average
9,9,5,16,74,73,56.446,Average
10,6,3,55,31,13,35.93075,Bad
7,9,1,46,84,38,58.6555,Average
7,9,4,31,87,92,71.60275,Good
9,9,1,14,41,95,55.798750000000005,Average
6,2,3,15,89,93,63.09125,Average
8,7,2,91,20,5,42.634750000000004,Average
4,6,2,97,47,65,71.26325,Good
7,3,1,21,46,86,52.27,Average
3,2,4,56,72,77,65.25025000000001,Average
10,3,5,67,3,19,31.215000000000003,Bad
10,5,3,87,86,26,65.89975000000001,Average
10,5,2,6,97,70,57.733,Average
2,5,2,64,58,89,70.60975,Good
8,9,4,11,13,30,23.076,Bad
6,1,3,56,12,76,48.40075,Average
10,1,2,38,26,6,23.841250000000002,Bad
6,7,1,39,30,70,50.50725,Average
6,3,5,68,91,49,65.8495,Average
10,8,2,22,28,22,28.960500000000003,Bad
1,2,3,60,60,43,51.59075,Average
2,10,2,12,82,76,58.908500000000004,Average
4,10,1,88,90,15,66.3565,Average
8,5,4,33,61,19,37.685500000000005,Bad
1,6,4,1,81,37,38.0295,Bad
1,5,3,34,4,37,26.9625,Bad
3,2,3,79,41,50,55.3125,Average
2,7,4,88,100,1,60.71275000000001,Average
9,6,1,54,85,46,62.8725,Average
7,5,1,0,32,62,34.4185,Bad
9,6,3,89,61,33,62.2785,Average
4,2,2,75,21,93,63.688750000000006,Average
7,10,1,97,3,76,66.17,Average
